Nub_ID,Color,Number,Colony,Nutrient Level,Tank Level,Assignment,Species,Partial mortality,Blastate Vol (mL),Corrected SA,BW_initial,BW_final,dry.w_intial,dry.w_final,Growth.day,percent.growth ,growth.SA,growth.protein,Total Protein per mL,Total Protein (mg),Protein.SA,Chl.a per ml,Total Chl.a,Chl.a.cm2,Chl.c.per ml,Total Chl.c,Chl.c.cm2,Total chl,Mean VL3,Median VL3,Zoox/uL,Zoox/mL,Total Zoox,Zoox.cm2,
G057_Poc3_CH_N1.T3,G,057,3,N1,T3,CH,POC,0,10,6.264464286,4.704,4.808,7.236016548,7.395988383,4.705053972,2.210772101,0.751070444,0.870172977,0.540703297,5.407032967,0.86312775,4.04482275,40.4482275,6.456773581,5.811096223,58.11096223,9.27628598,15.73305956,403302.875,266175,115.734694,115734.694,1157346.94,1.85E+05,
G058_Poc3_CH_T0,G,058,3,T0,T0,T0,POC,0,10,7.768276029,,,,,,,0,,0.364738462,3.647384615,0.469523045,1.86866775,18.6866775,2.405511523,2.16496037,21.6496037,2.786925133,5.192436656,202860.0156,138742,264.46,264460,2644600,3.40E+05,
G059_Poc3_CH_N0.T3,G,059,3,N0,T3,CH,POC,0,10,4.207692393,3.285,3.33,5.053213018,5.122429507,2.035779073,1.369752041,0.48382317,0.751669569,0.270834308,2.708343077,0.643664704,0.42717225,4.2717225,1.015217393,0.913695653,9.136956533,2.171488712,3.186706104,306139.6875,255623,69.44898,69448.98,694489.8,1.65E+05,
G060_Poc3_CH_N4.T2,G,060,3,N4,T2,CH,POC,0,10,6.834082785,4.628,4.711,7.119107661,7.246776181,3.754956472,1.793321946,0.549445564,0.438283911,0.856740659,8.567406593,1.253629326,7.033599,70.33599,10.29194293,9.262748637,92.62748637,13.55375539,23.84569832,257851.7344,159788.5,451.16,451160,4511600,6.60E+05,
G061_Poc4_CH_N3.T3,G,061,4,N3,T3,CH,POC,0,10,4.953456721,3.104,3.146,4.774786054,4.839389374,1.900097638,1.353009725,0.383590237,0.458469771,0.414443385,4.144433846,0.83667509,3.25279725,32.5279725,6.566721853,5.910049668,59.10049668,11.93116242,18.49788427,273601.7188,152337,238.4375,238437.5,2384375,4.81E+05,
G062_Poc4_CH_N1.T3,G,062,4,N1,T3,CH,POC,0,10,3.52690958,3.601,3.652,5.53930558,5.617751547,2.307234331,1.416169701,0.654180176,0.924245284,0.249634418,2.496344176,0.707799312,0.96426525,9.6426525,2.734023167,2.46062085,24.6062085,6.976705226,9.710728393,337695.2188,258603,106.26,106260,1062600,3.01E+05,
G063_Poc4_CH_N2.T1,G,063,4,N2,T1,CH,POC,0,10,4.404037958,3.117,3.153,4.794783538,4.850156348,1.628612071,1.154855271,0.369799735,0.407206857,0.399947114,3.999471136,0.908137299,3.26763225,32.6763225,7.419627807,6.677665027,66.77665027,15.16259644,22.58222425,229430.2031,137967.5,375.510204,375510.204,3755102.04,8.53E+05,
G064_Poc4_CH_T0,G,064,4,T0,T0,T0,POC,0,10,3.524390692,,,,,,,0,,0.505642571,5.056425714,1.434695003,1.3337475,13.337475,3.784334986,3.405901487,34.05901487,9.663802298,13.44813728,217553.7188,150994,154.98,154980,1549800,4.40E+05,
G066_Poc4_CH_N1.T2,G,066,4,N1,T2,CH,POC,0,10,3.762036899,3.838,3.877,5.903875188,5.963861949,1.764316521,1.016057417,0.468979058,0.405584438,0.435005971,4.350059707,1.15630437,1.67809575,16.7809575,4.460604176,4.014543758,40.14543758,10.67119719,15.13180137,310660.5313,205424,264.306122,264306.122,2643061.22,7.03E+05,
G067_Poc4_CH_T0,G,067,4,T0,T0,T0,POC,0,10,8.870344198,,,,,,,0,,0.894437399,8.944373993,1.008345764,4.17671025,41.7671025,4.708622526,4.237760273,42.37760273,4.77744739,9.486069915,232988.9063,151197,2.755102,2755.102,27551.02,3.11E+03,
G068_Poc4_CH_N0.T2,G,068,4,N0,T2,CH,POC,0,10,4.422654962,2.98,3.01,4.584040753,4.630183959,1.357153116,1.006605491,0.306863892,0.445103319,0.304907436,3.049074359,0.689421713,1.26976875,12.6976875,2.87105542,2.583949878,25.83949878,5.842531014,8.713586434,223408.5313,137461,175.836735,175836.735,1758367.35,3.98E+05,
G069_Poc4_TP_N4.T3,G,069,4,N4,T3,TP,POC,1,10,4.70988528,3.012,3.035,4.63326528,4.668640567,1.040449603,0.763506607,0.220907632,0.545325345,0.190794287,1.907942868,0.405093278,2.664243,26.64243,5.656704658,5.091034192,50.91034192,10.80925307,16.46595773,238577.9063,138136,384.795918,384795.918,3847959.18,8.17E+05,
G070_Poc4_CH_N2.T3,G,070,4,N2,T3,CH,POC,0,10,2.922809528,2.718,2.752,4.181014303,4.233311218,1.538144544,1.250818838,0.526255485,0.502676057,0.305991209,3.059912088,1.046907798,1.43676825,14.3676825,4.915709478,4.42413853,44.2413853,15.13659541,20.05230489,229066.9531,150867,255.816327,255816.327,2558163.27,8.75E+05,
G072_Poc4_CH_N0.T3,G,072,4,N0,T3,CH,POC,1,10,4.903256792,4.337,4.411,6.671471318,6.785296331,3.347794484,1.706145571,0.68276956,1.466991616,0.228208154,2.282081538,0.465421583,0.58385025,5.8385025,1.190739696,1.071665726,10.71665726,2.185620235,3.37635993,193862.0469,128878,155.56,155560,1555600,3.17E+05,
G073_Poc4_CH_N1.T1,G,073,4,N1,T1,CH,POC,0,10,5.398411561,4.012,4.064,6.171533557,6.251517916,2.352481147,1.296020807,0.435772842,0.467199138,0.503528571,5.035285714,0.932734686,2.028114,20.28114,3.75687177,3.381184593,33.81184593,6.263295332,10.0201671,318242.8438,234855,390.836735,390836.735,3908367.35,7.24E+05,
G074_Poc4_CH_N3.T1,G,074,4,N3,T1,CH,POC,0,10,5.676878991,3.235,3.266,4.976298858,5.023981769,1.402438547,0.958200301,0.247043939,0.227444843,0.616606,6.16606,1.086170766,3.18161925,31.8161925,5.604521877,5.044069689,50.44069689,8.885286611,14.48980849,243828.25,144612.5,394.816327,394816.327,3948163.27,6.95E+05,
G075_Poc4_CH_N4.T1,G,075,4,N4,T1,CH,POC,1,10,10.25910163,4.793,4.829,7.372921897,7.428291696,1.628523482,0.750988538,0.158739385,0.303126684,0.537241875,5.372418755,0.523673412,5.10878775,51.0878775,4.97976132,4.481785188,44.81785188,4.368594198,9.348355519,213547.2031,123490.5,453.52,453520,4535200,4.42E+05,
G076_Poc4_CH_N4.T3,G,076,4,N4,T3,CH,POC,0,10,5.200596977,3.622,3.652,5.571609251,5.617751407,1.357122241,0.82816569,0.260955088,0.464007583,0.292478462,2.924784615,0.562394015,2.84098725,28.4098725,5.462809871,4.916528884,49.16528884,9.453777913,14.91658778,215072.5156,128998,349.36,349360,3493600,6.72E+05,
G077_Poc4_CH_N3.T2,G,077,4,N3,T2,CH,POC,1,10,4.926734182,3.518,3.55,5.411629267,5.460848218,1.447616209,0.90950338,0.293828763,0.376840369,0.384145736,3.841457363,0.77971679,3.430734,34.30734,6.963505384,6.267154845,62.67154845,12.72070831,19.68421369,300627.0625,171548,268.877551,268877.551,2688775.51,5.46E+05,
G078_Poc4_CH_N4.T2,G,078,4,N4,T2,CH,POC,0,10,4.658227985,4.808,4.837,7.395995443,7.440597646,1.311829517,0.60305883,0.281615567,0.256071651,0.512290022,5.12290022,1.099753004,6.40384275,64.0384275,13.74737941,12.37264147,123.7264147,26.56083281,40.30821223,314601.5625,187899.5,438.571429,438571.429,4385714.29,9.41E+05,
G079_Poc4_CH_N2.T2,G,079,4,N2,T2,CH,POC,0,10,6.063807927,3.186,3.226,4.900923759,4.96244995,1.809593854,1.255399881,0.298425325,0.611723237,0.295819048,2.958190476,0.487843697,2.32510725,23.2510725,3.834401218,3.450961096,34.50961096,5.691079166,9.525480384,270071.6563,165848,346.183673,346183.673,3461836.73,5.71E+05,
G080_Poc4_CH_N0.T1,G,080,4,N0,T1,CH,POC,0,15,7.455142848,4.765,4.811,7.329849782,7.400603036,2.080978056,0.965275633,0.279133224,0.198174832,0.700047875,10.50071813,1.408520044,2.498478,37.47717,5.027022388,4.524320149,67.86480224,9.10308543,14.13010782,381927.625,246168,190.693878,190693.878,2860408.17,3.84E+05,
G081_Poc5_CH_N2.T2,G,081,5,N2,T2,CH,POC,1,10,4.328325951,3.365,3.429,5.17627247,5.274718163,2.895461561,1.901864588,0.66895645,0.832695251,0.347721637,3.477216374,0.803362874,1.148286,11.48286,2.652956393,2.387660753,23.87660753,5.516360784,8.169317176,217838.8125,135968,235.734694,235734.694,2357346.94,5.45E+05,
G082_Poc5_CH_N3.T2,G,082,5,N3,T2,CH,POC,2,10,5.697207217,4.902,4.927,7.540590641,7.579042855,1.130947459,0.509936362,0.198509097,0.319315707,0.354178462,3.541784615,0.621670317,2.690118,26.90118,4.721818775,4.249636897,42.49636897,7.459158032,12.18097681,155615.8906,68669.5,68.897959,68897.959,688979.59,1.21E+05,
G083_Poc5_CH_T0,G,083,5,T0,T0,T0,POC,0,10,7.928847177,,,,,,,0,,0.213738,2.13738,0.269570084,0.9858885,9.858885,1.243419728,1.119077755,11.19077755,1.411400334,2.654820062,196732.1563,137688.5,94.653061,94653.061,946530.61,1.19E+05,
G084_Poc5_CH_T0,G,084,5,T0,T0,T0,POC,0,10,7.059367553,,,,,,,0,,0.305663414,3.056634139,0.432989799,1.322802,13.22802,1.873825084,1.686442576,16.86442576,2.388942867,4.262767951,212113.1563,132634.5,100.408163,100408.163,1004081.63,1.42E+05,
G085_Poc5_CH_N4.T1,G,085,5,N4,T1,CH,POC,2,10,7.180327328,3.361,3.378,5.170119594,5.196266173,0.76901703,0.505724839,0.107100553,1.075978144,0.071471436,0.714714359,0.099537852,1.73477625,17.3477625,2.416012768,2.174411491,21.74411491,3.028290204,5.444302972,273990.2813,73964,20.94,20940,209400,2.92E+04,
G086_Poc5_CH_N4.T3,G,086,5,N4,T3,CH,POC,2,15,14.06559952,6.966,6.998,10.71557636,10.76479303,1.447549092,0.459300251,0.102914141,0.436638544,0.221014095,3.315211429,0.235696418,3.4962015,52.4430225,3.728459809,3.355613828,50.33420742,3.578532671,7.30699248,210849.6406,119609.5,164.44898,164448.98,2466734.7,1.75E+05,
G087_Poc5_TP_N3.T2,G,087,5,N3,T2,TP,POC,0,10,18.97248948,4.193,4.225,6.449958792,6.499178741,1.447645565,0.763104863,0.076302352,0.277206071,0.522227223,5.222272234,0.275254981,2.60442075,26.0442075,1.372735377,1.235461839,12.35461839,0.65118594,2.023921317,183714.7031,116834,311.428571,311428.571,3114285.71,1.64E+05,
G088_Poc5_CH_N0.T1,G,088,5,N0,T1,CH,POC,0,15,8.742024582,4.882,4.92,7.509825507,7.568274151,1.719077768,0.778295635,0.196645268,0.369603531,0.310076,4.65114,0.532043802,1.38177375,20.72660625,2.370916034,2.13382443,32.00736646,3.661321946,6.03223798,231378.4844,143455.5,143.632653,143632.653,2154489.795,2.46E+05,
G089_Poc5_CH_N0.T3,G,089,5,N0,T3,CH,POC,0,10,6.587490206,4.193,4.269,6.449958798,6.5668622,3.438335355,1.812467424,0.521949217,0.930236751,0.369619385,3.696193846,0.561092879,1.43388075,14.3388075,2.176672306,1.959005076,19.59005076,2.973826168,5.150498474,401165.1563,277389,102.7,102700,1027000,1.56E+05,
G090_Poc5_TP_N4.T3,G,090,5,N4,T3,TP,POC,1,10,5.17862256,4.272,4.335,6.571481711,6.668387762,2.850177959,1.474645367,0.550373758,0.767853907,0.371187531,3.711875311,0.716768845,4.73317575,47.3317575,9.139835343,8.225851808,82.25851808,15.88424666,25.024082,255081.9844,144258,228.346939,228346.939,2283469.39,4.41E+05,
G091_Poc5_CH_N1.T2,G,091,5,N1,T2,CH,POC,0,10,2.833711316,3.674,3.765,5.651597579,5.791576022,4.117013041,2.476794242,1.452869605,1.137296996,0.361999817,3.619998168,1.27747599,1.8385725,18.385725,6.488213848,5.839392463,58.39392463,20.60687139,27.09508523,296816.3125,172090.5,213.877551,213877.551,2138775.51,7.55E+05,
G092_Poc5_CH_N1.T1,G,092,5,N1,T1,CH,POC,0,10,5.12365567,3.585,3.692,5.514691574,5.679282431,4.840907559,2.984588617,0.944815161,1.312017535,0.368966681,3.689666813,0.720123882,1.4228055,14.228055,2.776934266,2.49924084,24.9924084,4.877846992,7.654781259,228284.375,139775,149,149000,1490000,2.91E+05,
G093_Poc5_TP_N0.T3,G,093,5,N0,T3,TP,POC,0,10,6.85545324,4.509,4.642,6.936051279,7.140635824,6.017192509,2.949582364,0.877723514,1.333552333,0.451215326,4.51215326,0.658184529,1.014603,10.14603,1.479994049,1.331994644,13.31994644,1.942970943,3.422964992,315602.6563,231320,191.571429,191571.429,1915714.29,2.79E+05,
G094_Poc5_CH_N3.T1,G,094,5,N3,T1,CH,POC,0,10,6.597113329,3.752,3.793,5.771582252,5.834648613,1.854892991,1.092704893,0.281167368,0.387666823,0.478476073,4.784760733,0.725280967,2.18040975,21.8040975,3.305096701,2.974587031,29.74587031,4.508922134,7.814018835,166757.8438,102519,243.54,243540,2435400,3.69E+05,
G095_Poc5_CH_N1.T3,G,095,5,N1,T3,CH,POC,0,10,3.656036043,3.257,3.3,5.01013949,5.076281112,1.945341843,1.320155313,0.532090444,0.712602224,0.272991267,2.729912674,0.746686477,1.88722275,18.8722275,5.161936938,4.645743244,46.45743244,12.7070499,17.86898684,320930.6875,200154,59.367347,59367.347,593673.47,1.62E+05,
G096_Poc5_CH_N2.T1,G,096,5,N2,T1,CH,POC,0,10,4.466481997,3.019,3.042,4.644031828,4.679408694,1.040496037,0.761770517,0.232956505,0.350789587,0.296615429,2.966154286,0.664091848,,,,,,,,,,,,,,
G097_Poc5_CH_N3.T3,G,097,5,N3,T3,CH,POC,0,10,8.988685623,4.665,4.823,7.176021315,7.419063058,7.148286571,3.386859274,0.795253819,1.137222439,0.628574176,6.285741758,0.699294872,5.9212905,59.212905,6.587493153,5.928743838,59.28743838,6.595785064,13.18327822,398067.9688,185815,212.020408,212020.408,2120204.08,2.36E+05,
G098_Poc5_CH_N2.T3,G,098,5,N2,T3,CH,POC,2,10,7.550193448,5.922,5.955,9.109624609,9.160381107,1.492838187,0.557174423,0.197721846,0.280826791,0.531586813,5.315868132,0.704070454,3.8101215,38.101215,5.046389243,4.541750319,45.41750319,6.015409208,11.06179845,196946.1563,113552,127.9,127900,1279000,1.69E+05,
G099_Poc5_CH_N0.T2,G,099,5,N0,T2,CH,POC,2,10,15.57986151,5.9,5.946,9.075782662,9.146536245,2.080987741,0.779586575,0.133569078,0.873172173,0.238325018,2.383250183,0.152969921,1.9431225,19.431225,1.247201394,1.122481255,11.22481255,0.72046934,1.967670734,183206.7344,96061.5,61.6,61600,616000,3.95E+04,
