Month,Day,Hour,PAR
10,30,8,305.7631667
10,30,9,354.6925
10,30,10,482.3741667
10,30,11,575.8516667
10,30,12,490.5558333
10,30,13,236.0566667
10,30,14,187.15
10,30,15,84.07266667
10,30,16,25.63005
10,30,17,15
10,30,18,0
10,31,6,0
10,31,7,6.495041667
10,31,8,90.82858333
10,31,9,61.308725
10,31,10,81.57223333
10,31,11,244.1665833
10,31,12,197.9641667
10,31,13,197.4616667
10,31,14,134.0015
10,31,15,70.970975
10,31,16,42.612975
10,31,17,16.658
10,31,18,0
11,1,6,0
11,1,7,17
11,1,8,179.01392
11,1,9,302.1466667
11,1,10,487.98
11,1,11,411.4463333
11,1,12,247.75775
11,1,13,184.2266667
11,1,14,70.22808333
11,1,15,50.42215
11,1,16,12.73965
11,1,17,14.4796
11,1,18,1
11,2,6,0
11,2,7,4.0052
11,2,8,102.9788417
11,2,9,224.3899167
11,2,10,313.8716667
11,2,11,374.555
11,2,12,402.6966667
11,2,13,163.22
11,2,14,91.87166667
11,2,15,16.41619167
11,2,16,6.0847
11,2,17,13.1428
11,2,18,3
11,3,6,0
11,3,7,3.950033333
11,3,8,98.97649167
11,3,9,254.0866667
11,3,10,359.0216667
11,3,11,398.3391667
11,3,12,313.4216667
11,3,13,128.9166667
11,3,14,94.01641667
11,3,15,44.13237273
11,3,16,7.636525
11,3,17,17.3203
11,3,18,2
11,4,6,0
11,4,7,6.65535
11,4,8,98.34338333
11,4,9,257.29
11,4,10,387.1333333
11,4,11,500.9466667
11,4,12,376.7941667
11,4,13,161.5883333
11,4,14,101.38625
11,4,15,35.68475
11,4,16,4.601283333
11,4,17,4.2865
11,4,18,1
11,5,6,0
11,5,7,14.79655
11,5,8,45.39525
11,5,9,91.57025
11,5,10,120.8078333
11,5,11,181.4711667
11,5,12,231.335
11,5,13,138.67175
11,5,14,96.12116667
11,5,15,41.93970833
11,5,16,11.59221667
11,5,17,3.451
11,5,18,1
11,6,6,0
11,6,7,2.7902
11,6,8,105.044925
11,6,9,260.1016667
11,6,10,368.9416667
11,6,11,391.9875
11,6,12,383.2125
11,6,13,134.7525833
11,6,14,93.00933333
11,6,15,40.6745
11,6,16,10.9096625
11,6,17,39.0433
11,6,18,1
11,7,6,0
11,7,7,22.65514444
11,7,8,51.85369167
11,7,9,104.9350833
11,7,10,136.9408333
11,7,11,158.6566667
11,7,12,175.3608333
11,7,13,134.6016667
11,7,14,104.0668333
11,7,15,53.24916667
11,7,16,16.2848
11,7,17,6.86015
11,7,18,1.2636
11,8,6,0
11,8,7,6.2317625
11,8,8,67.38316667
11,8,9,126.6595833
11,8,10,175.36
11,8,11,173.3525
11,8,12,167.5825
11,8,13,127.3533333
11,8,14,97.74966667
11,8,15,65.19358333
11,8,16,22.74286667
11,8,17,3.7852
11,8,18,1.2449
11,9,6,0
11,9,7,12.0455
11,9,8,57.63675
11,9,9,182.2715
11,9,10,249.1825
11,9,11,206.4925
11,9,12,146.4256667
11,9,13,143.5774167
11,9,14,105.2980833
11,9,15,58.869
11,9,16,34.59575
11,9,17,7.7074375
11,9,18,1.5323
11,10,6,0
11,10,7,29.11431667
11,10,8,90.015
11,10,9,151.9268333
11,10,10,270.89
11,10,11,304.055
11,10,12,194.9283333
11,10,13,141.1483333
11,10,14,113.9545833
11,10,15,82.25408333
11,10,16,50.77516667
11,10,17,13.18361667
11,10,18,1.1279
11,11,6,0
11,11,7,15.999775
11,11,8,77.00441667
11,11,9,132.0229167
11,11,10,267.4366667
11,11,11,357.00975
11,11,12,223.74
11,11,13,153.7341667
11,11,14,127.8333333
11,11,15,97.81516667
11,11,16,36.8545
11,11,17,9.567391667
11,11,18,NA
11,12,6,0
11,12,7,20.53834167
11,12,8,55.80641667
11,12,9,170.5041667
11,12,10,342.9758333
11,12,11,302.0391667
11,12,12,332.9483333
11,12,13,134.84275
11,12,14,138.429
11,12,15,78.53908333
11,12,16,41.72883333
11,12,17,9.889108333
11,12,18,NA
11,13,6,0
11,13,7,21.050725
11,13,8,64.55241667
11,13,9,145.35275
11,13,10,163.55475
11,13,11,273.0783333
11,13,12,144.4914167
11,13,13,190.4675
11,13,14,144.5558333
11,13,15,77.41158333
11,13,16,36.10333333
11,13,17,9.013991667
11,13,18,1.2636
11,14,6,0
11,14,7,22.41549167
11,14,8,66.68358333
11,14,9,142.4053333
11,14,10,292.7380833
11,14,11,440.8325
11,14,12,362.6975
11,14,13,151.3016667
11,14,14,125.23425
11,14,15,67.66508333
11,14,16,36.69408333
11,14,17,10.68784167
11,14,18,1.0649
11,15,6,0
11,15,7,20.06013333
11,15,8,65.41825
11,15,9,136.2983333
11,15,10,197.3266667
11,15,11,336.085
11,15,12,257.0075
11,15,13,143.6441667
11,15,14,123.466
11,15,15,90.11408333
11,15,16,48.60866667
11,15,17,13.95111667
11,15,18,NA
11,16,6,0
11,16,7,21.79725833
11,16,8,71.85441667
11,16,9,186.05075
11,16,10,176.8264167
11,16,11,280.0733333
11,16,12,236.199
11,16,13,51.53866667
11,16,14,87.55
11,16,15,48.70308333
11,16,16,25.7385
11,16,17,9.520225
11,16,18,0
11,17,6,0
11,17,7,13.04999167
11,17,8,62.62341667
11,17,9,123.13825
11,17,10,205.1025
11,17,11,153.89175
11,17,12,270.88225
11,17,13,102.5125833
11,17,14,117.1684167
11,17,15,105.4639167
11,17,16,34.74833333
11,17,17,10.26402727
11,17,18,0
11,18,6,0
11,18,7,15.46179167
11,18,8,36.57316667
11,18,9,98.49841667
11,18,10,196.7808333
11,18,11,386.7508333
11,18,12,174.3629167
11,18,13,105.0128333
11,18,14,83.9415
11,18,15,63.65525
11,18,16,42.76283333
11,18,17,10.73983333
11,18,18,1.1279
11,19,6,0
11,19,7,27.723
11,19,8,69.1664
11,19,9,88.5293
11,19,10,139.824
11,19,11,164.2824
11,19,12,194.176
11,19,13,98.3638
11,19,14,61.1005
11,19,15,31.2839
11,19,16,24.4536
11,19,17,10.5
11,19,18,0
11,20,6,0
11,20,7,27.723
11,20,8,30.7803
11,20,9,42.3301
11,20,10,154.7708
11,20,11,157.1487
11,20,12,122.839
11,20,13,34.1974
11,20,14,43.2208
11,20,15,17.6545
11,20,16,9.1324
11,20,17,9
11,20,18,0
11,21,6,0
11,21,7,27.723
11,21,8,55.5784
11,21,9,82.075
11,21,10,199.9509
11,21,11,157.8281
11,21,12,208.1037
11,21,13,98.1967
11,21,14,89.5075
11,21,15,117.9145
11,21,16,77.3092
11,21,17,11
11,21,18,0
11,22,6,0
11,22,7,27.723
11,22,8,37.5743
11,22,9,97.0218
11,22,10,143.221
11,22,11,210.4816
11,22,12,231.543
11,22,13,36.871
11,22,14,79.3144
11,22,15,55.5862
11,22,16,21.1636
11,22,17,6
11,22,18,0
11,23,6,0
11,23,7,27.723
11,23,8,44.708
11,23,9,99.06
11,23,10,55.2387
11,23,11,150.6944
11,23,12,170.7367
11,23,13,179.4073
11,23,14,93.5179
11,23,15,34.6987
11,23,16,16.9861
11,23,17,7
11,23,18,0
11,24,6,0
11,24,7,27.723
11,24,8,39.9522
11,24,9,85.1323
11,24,10,91.2469
11,24,11,156.809
11,24,12,126.9154
11,24,13,36.2026
11,24,14,57.9256
11,24,15,38.542
11,24,16,5.122
11,24,17,15
11,24,18,0
